ID,Name,Human_Toy
1,Alien #1,toy
2,Alien #2,toy
3,Alien #3,toy
4,Alien #4,toy
5,Aliens,toy
6,Andy,human
7,Attendant,human
8,Bo Peep,toy
9,Buzz Lightyear,toy
10,Friend #1,human
11,Friend #2,human
12,Hamm,toy
13,Hannah,human
14,Kid #1,human
15,Kid #2,human
16,Lenny,toy
17,Local Announcer,human
18,Mike,toy
19,Mom,human
20,Mr. Potato Head,toy
21,Mr. Spell,toy
22,Pizza Deliverer,human
23,RC Car,toy
24,Rex,toy
25,Robot,toy
26,Sergeant,toy
27,Sid,human
28,Sid's Mom,human
29,Slinky,toy
30,Space Commander,toy
31,TV Announcer,human
32,TV Buzz,toy
33,Woody,toy
34,Wounded Soldier,toy
